author,binding,category,depth,height,isbn10,isbn13,language,noOfPages,price,publisher,publisherDate,returnable,subTitle,title,url,weight,width
David Vandermeulen, Hardcover,Home::Fiction::Graphic novels::Graphic novels: true stories & non-fiction,, 213 mm, 1787332810, 9781787332812, English, 248,₹758, Jonathan Cape, 27 Dec 2020,,,"Sapiens A Graphic History, Volume 1",https://www.bookswagon.com/book/sapiens-a-graphic-history-volume/9781787332812, 317 gr, 282 mm
J. K. Rowling, PAPERBACK,Home::Fiction::Fantasy, 61, 132 mm, 1408855690, 9781408855690, ENGLISH, 816,₹575, Bloomsbury Publishing PLC, 01 Sep 2014, Y,,Harry Potter and the Order of the Phoenix,https://www.bookswagon.com/book/harry-potter-order-phoenix-jk/9781408855690, 640 gr, 199 mm
 Ruskin Bond, Paperback,Home::Fiction::Modern & contemporary fiction,, 198 mm, 8129120437, 9788129120434, English, 208,₹236, Rupa Publications India, 01 Nov 2014, N, Stories of Love and Romance,Falling in Love Again,https://www.bookswagon.com/book/falling-in-love-again-ruskin/9788129120434, 208 gr, 129 mm
Tarryn Fisher, Paperback,Home::Fiction::Crime & mystery,, 198 mm, 0008620482, 9780008620486, English, 400,₹324, HarperCollins Publishers, 28 Feb 2023,,,Never Never,https://www.bookswagon.com/book/never-tarryn-fisher-colleen-hoover/9780008620486, 270 gr, 129 mm
"Changle, Stuti", Paperback,Home::General,, 39.99992 mm, 0143453580, 9780143453581, English, 240,₹205, Penguin eBury Press, 31 Jan 2021,,,You Only Live Once: One for Passion Two for Love Three for Friendship,https://www.bookswagon.com/book/you-only-live-once-changle/9780143453581,, 139.99972 mm
Jeff Kinney , Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Humorous stories (children’s/ya), 17, 196 mm, 0141324910, 9780141324913, English, 224,₹270, Penguin Books Ltd, 05 Jan 2009, N,,Diary of a Wimpy Kid: Rodrick Rules (Book 2),https://www.bookswagon.com/book/diary-wimpy-kid-jeff-kinney/9780141324913, 174 gr, 130 mm
Wonder House Books, Paperback,Home::General,, 0.5 mm, 9388810562, 9789388810562, English, 64,₹107, Wonder House Books, 01 May 2019,,,Nature Doodle Coloring Book : Children Coloring Book With Tear Out Sheets,https://www.bookswagon.com/book/nature-doodle-coloring-book-wonder/9789388810562, 700 gr, 28.5 mm
Gary John Bishop, Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development::Popular psychology::Assertiveness, motivation & self-esteem", 22, 214 mm, 1473671566, 9781473671560,, 224,₹291, Hodder & Stoughton General Division, 25 Jul 2017, Y,,Unf*ck Yourself,https://www.bookswagon.com/book/unfck-yourself-gary-john-bishop/9781473671560, 232 gr, 135 mm
Tahereh Mafi, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Adventure stories (children’s/ya)::Thrillers (children’s/ya),, 139 mm, 1405291753, 9781405291750,, 416,₹324, Egmont UK Ltd, 05 Apr 2018, Y,,Shatter Me,https://www.bookswagon.com/book/shatter-me-tahereh-mafi/9781405291750, 238 gr, 199 mm
Wonder House Books, Paperback,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts::Early learning: numbers & counting",, 0.1 mm, 9388369432, 9789388369435, English, 8,₹29, Wonder House Books, 01 Feb 2019,,,My First Picture Book of Numbers,https://www.bookswagon.com/book/my-first-picture-book-numbers/9789388369435, 110 gr, 18.4 mm
Leigh Bardugo, Paperback,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts::Early learning: things that go",, 131 mm, 1780622287, 9781780622286,, 288,₹413, Hachette Children'S Group, 02 Jun 2016, Y,,Six of Crows,https://www.bookswagon.com/book/six-crows-leigh-bardugo/9781780622286, 404 gr, 198 mm
Ajay K. Pandey, Paperback,Home::Fiction::Romance::Adult & contemporary romance,, 203 mm, 9382665544, 9789382665540, English, 250,₹277, Srishti Publishers & Distributors, 01 Nov 2015, N,,You are the Best Wife,https://www.bookswagon.com/book/you-are-best-wife-k/9789382665540, 249 gr, 127 mm
Ravinder Singh, Paperback,Home::Fiction::Classic fiction, 13, 197 mm, 0143418769, 9780143418764, English, 216,₹205, Penguin Books India Pvt Ltd, 31 Dec 2011, Y,,I Too Had a Love Story,https://www.bookswagon.com/book/i-too-had-a-love/9780143418764, 200 gr, 130 mm
"Carol R. Ember, Melvin R. Ember, Peter N. Peregrine", Paperback,Home::General,, 22.999954 mm, 9353949602, 9789353949600, English, 656,₹699, Pearson Education, 15 Jul 2020,,,Anthropology | Fifteenth Edition| By Pearson,https://www.bookswagon.com/book/anthropology-fifteenth-edition-by-pearson/9789353949600,, 202.999594 mm
Amish Tripathi , Paperback,Home::Fiction::Adventure,, 196 mm, 9356290911, 9789356290914, English, 376,₹259, HarperCollins India, 15 Aug 2022, Y,,Sita: Warrior of Mithila (RAM Chandra Series Book 2),https://www.bookswagon.com/book/sita-amish-tripathi-na/9789356290914, 272 gr, 130 mm
Peppa Pig, PAPERBACK,Home::General, 5, 210 mm, 0241294649, 9780241294642,, 64,₹364,, 13 Jul 2017, Y,,Peppa Pig: 1000 First Words Sticker Book,https://www.bookswagon.com/book/peppa-pig-peppa-pig/9780241294642, 472 gr, 296 mm
Om Books Editorial Team, Paperback,Home::General,, 20.6 mm, 9352763149, 9789352763146, English, 64,₹119, Om Books International, 25 Nov 2018,,,Encyclopedia: Amazing Questions & Answers Technology,https://www.bookswagon.com/book/encyclopedia-om-books-editorial-team/9789352763146, 200 gr, 16.6 mm
Stuti Changle, Paperback,Home::Fiction::Modern & contemporary fiction,, 198 mm, 014345367X, 9780143453673, English, 256,₹205, Penguin Random House India Pvt. Ltd, 15 Sep 2022, Y,,Where the Sun Never Sets,https://www.bookswagon.com/book/sun-never-sets-stuti-changle/9780143453673, 700 gr, 129 mm
Vikrant Khanna, Paperback,Home::Fiction::Modern & contemporary fiction,, 203 mm, 0143439944, 9780143439943, English, 224,₹105, Penguin Books India Pvt Ltd, 01 Apr 2017, Y,,Girl Who Knew Too Much,https://www.bookswagon.com/book/girl-who-knew-too-much/9780143439943, 700 gr, 127 mm
Wonder House Books, Board book,Home::General,,, 9354404006, 9789354404009, English, 10,₹77, Wonder House Books, 15 Dec 2021,,,"MyÂ FirstÂ ShapedÂ BoardÂ bookÂ - Elephant, Die-Cut Animals, Picture Book for Children",https://www.bookswagon.com/book/my%C3%A2first%C3%A2shaped%C3%A2board%C3%A2book%C3%A2-elephant-diecut-animals-picture/9789354404009,, 165 mm
Wonder House Books, Paperback,Home::Children & Teens::Children’s & young adult general non-fiction::Science & technology: general interest (children’s/ya),, 1.0 mm, 9388369068, 9789388369060, English, 160,₹95, Wonder House Books, 20 May 2019, Y, Biographies of Inspirational Personalities for Kids,World's Greatest Scientists & Inventors : Biographies of Inspirational Personalities For Kids,https://www.bookswagon.com/book/worlds-greatest-scientists-inventors-wonder/9789388369060, 700 gr, 14.0 mm
Gk Pal, Paperback,Home::Medicine,, 47 mm, 8131265994, 9788131265994, English, 750,"₹1,302", Elsevier, 01 Jan 2021,,,"Textbook of Medical Physiology, 4th edition",https://www.bookswagon.com/book/textbook-medical-physiology-4th-edition/9788131265994,, 254 mm
George S. Clason, Paperback,Home::General,, 1.7 mm, 9389717094, 9789389717099, Hindi, 152,₹89, Fingerprint! Publishing, 01 Dec 2019,,,Babylon Ka Sabse Ameer Aadami (The Richest Man in Babylon in Hindi),https://www.bookswagon.com/book/ka-sabse-ameer-aadami-the/9789389717099, 140 gr, 12.6 mm
"Choudhary, Abhishek", Hardcover,Home::Biographies & Memoirs,, 238 mm, 9395624493, 9789395624497, English, 432,₹530, Picador India, 10 May 2023,,,"VAJPAYEE: The Ascent of the Hindu Right, 1924-1977",https://www.bookswagon.com/book/vajpayee-choudhary-abhishek/9789395624497, 680 gr, 40 mm
Rolf Dobelli, Hardback,"Home::Parenting, Family & Health::Self Help & Personal Development::Popular psychology::Assertiveness, motivation & self-esteem",, 187 mm, 144475954X, 9781444759549,, 336,₹349, Hodder & Stoughton General Division, 28 Mar 2013, Y,,"Art of Thinking Clearly: Better Thinking, Better Decisions",https://www.bookswagon.com/book/art-thinking-clearly-rolf-dobelli/9781444759549, 310 gr, 118 mm
Wonder House Books, Box Set,Home::General,, 10.4 mm, 9389931762, 9789389931761, English, 220,₹620, Wonder House Books, 25 Oct 2020,,,Peppa Pig Early Learning Library (English-Hindi): Boxset of 10 Bilingual Board Books For Children,https://www.bookswagon.com/book/peppa-pig-early-learning-library/9789389931761, 820 gr, 9.2 mm
Bankimchandra Chatterjee, Paperback,Home::General,, 1.1 mm, 9389567475, 9789389567472, Hindi, 160,₹89, Fingerprint! Publishing, 01 Nov 2019,,,Anandamath (Hindi),https://www.bookswagon.com/book/anandamath-hindi-bankimchandra-chatterjee/9789389567472, 700 gr, 12.6 mm
Oxford University Press, Hardcover,Home::General,, 39.99992 mm, 0194798518, 9780194798518, English,,"₹1,125", Oxford University Press, 01 Jan 2020,,,Oxford Advanced Learner's Dictionary Hardback (with 1 year's access to both Premium Online and App),https://www.bookswagon.com/book/oxford-advanced-learners-dictionary-hardback/9780194798518,, 139.99972 mm
 Ladybird, Board book,Home::General,, 260 mm, 0241379148, 9780241379141,, 12,₹333, Penguin Books Ltd, 13 Jun 2019,,,Baby Touch: Animals Tab Book,https://www.bookswagon.com/book/baby-touch-lemon-ribbon-studio/9780241379141, 386 gr, 260 mm
Kinsley David, Hardcover,Home::General,,, 812081522X, 9788120815223,,,₹413, Motilal Banasidass, 2012,,,Tantric Visions Of The Divine Feminine,https://www.bookswagon.com/book/tantric-visions-divine-feminine-kinsley/9788120815223,,
"Chandra, Bipan", Paperback,Home::General,, 215.999568 mm, 9390122554, 9789390122554, English, 360,₹411, Orient Blackswan Pvt. Ltd., 07 Jul 2020,,,History of Modern India,https://www.bookswagon.com/book/history-modern-india-chandra-bipan/9789390122554,, 17.999964 mm
Wonder House Books, Paperback,Home::General,, 1.0 mm, 938653858X, 9789386538581, English, 64,₹207, Wonder House Books, 25 Apr 2018, Y, Colouring Books for Adults with Tear Out Sheets,"Nature, Garden and Forest: Colouring books for Adults with tear out sheets",https://www.bookswagon.com/book/nature-garden-forest-wonder-house/9789386538581, 700 gr, 28.0 mm
Sachin Singh, Paperback,Home::General,, 254 mm, 9332568715, 9789332568716, English, 376,₹459, Pearson Education India Pvt. Ltd.," July,2016",,,Pathfinder for Olympiad and JEE (Advanced) Physics,https://www.bookswagon.com/book/pathfinder-olympiad-jee-advanced-physics/9789332568716, 1128 gr, 203 mm
various, Paperback,"Home::Literature & literary studies::Literature: history & criticism::Literary studies: fiction, novelists & prose write",, 3.6 mm, 9388810546, 9789388810548, English, 568,₹269, Fingerprint! Publishing, 01 Feb 2019, Y, Collectable Edition,100 World’s Greatest Short Stories: Collectable Edition,https://www.bookswagon.com/book/100-worlds-greatest-short-stories/9789388810548, 700 gr, 12.5 mm
Peppa Pig, Hardback,Home::General, 4, 97 mm, 0241294053, 9780241294055,, 48,₹239, Penguin Books Ltd, 28 Nov 2016, Y,,Peppa Pig: Bedtime Little Library,https://www.bookswagon.com/book/peppa-pig-peppa-pig/9780241294055, 340 gr, 99 mm
Wonder House Books, Box Set,Home::General,, 1.3 mm, 9388369661, 9789388369664, English, 96,₹276, Wonder House Books, 20 Jan 2019,,,"Early Learning Picture Books Boxset : Pack of 12 Picture Books For Kids (Wipe & Clean)- Alphabet, Animals, Numbers, Fruits, Birds, Shapes & Colors, Wild Animals, Vegetables, Transport, Flowers, Professions & Part of Body",https://www.bookswagon.com/book/early-learning-picture-books-boxset/9789388369664, 392 gr, 18.5 mm
Aditya Chari, Paperback,Home::Art & Photography::The arts: general issues::Theory of art,,, 8190089099, 9788190089098, English,,₹487,, 01 Dec 2008,,,Figure Study Made Easy,https://www.bookswagon.com/book/figure-study-made-easy-chari/9788190089098,,
Leigh Bardugo, Hardback,Home::Children & Teens::Children’s & young adult fiction & true stories::Adventure stories (children’s/ya),, 162 mm, 1510106286, 9781510106284,, 512,₹857, Hachette Children'S Group, 08 Oct 2018,,,Six of Crows: Collector's Edition,https://www.bookswagon.com/book/six-crows-leigh-bardugo/9781510106284, 760 gr, 240 mm
Wonder House Books, Board Book,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts::Early learning: abc books / alphabet books",, 2.0 mm, 9387779564, 9789387779563, English, 24,₹239, Wonder House Books, 20 Jul 2018, Y, Padded Board Books,My First 4 In 1 Alphabet Numbers Colours Shapes: Padded Board Books,https://www.bookswagon.com/book/my-first-4-in-1/9789387779563, 222 gr, 12.7 mm
Devdutt Pattanaik , Paperback,Home::History & Humanities::Philosophy::Non-western philosophy::Oriental & indian philosophy,, 216 mm, 8129137704, 9788129137708, English, 258,₹296, Rupa Publications India, 01 Nov 2015, N,,My Gita,https://www.bookswagon.com/book/my-gita-devdutt-pattanaik/9788129137708, 304 gr, 140 mm
Tom Griffiths, Paperback,Home::General, 29, 130 mm, 0007547994, 9780007547999,, 368,₹358, HarperCollins Publishers, 06 Apr 2017, Y,,Algorithms to Live By,https://www.bookswagon.com/book/algorithms-live-by-tom-griffiths/9780007547999, 252 gr, 196 mm
"Baid, Gautam", Paperback,Home::General,,, 9390351014, 9789390351015, English, 456,₹389, HarperBusiness, 20 Nov 2020,,,The Joys Of Compounding: The Passionate Pursuit of Lifelong Learning,https://www.bookswagon.com/book/joys-compounding-baid-gautam/9789390351015,,
Gregory Hays, Paperback,"Home::History & Humanities::Philosophy::History of western philosophy::Western philosophy: ancient, to c 500", 6, 204 mm, 0812968255, 9780812968255, English, 256,₹364, Modern Library, 06 May 2003, Y, A New Translation,Meditations,https://www.bookswagon.com/book/meditations-gregory-hays-marcus-aurelius/9780812968255, 186 gr, 135 mm
Anne Frank , Paperback,"Home::Biographies & Memoirs::Diaries, letters & journals",, 203 mm, 9355201141, 9789355201140, English, 296,₹117, Rupa Publications India, 05 Nov 2021, N,,Diary of a Young Girl,https://www.bookswagon.com/book/diary-a-young-girl-anne/9789355201140, 340 gr, 133 mm
BS Sijwalii, Paperback,Home::Society & social sciences::Education,, 254 mm, 932529947X, 9789325299474, English, 1100,₹487, Arihant Publications, 01 Jun 2021, N,,Master Reasoning Guide (E),https://www.bookswagon.com/book/master-reasoning-guide-e-bs/9789325299474, 2125 gr, 203 mm
J.B.Gupta, Paperback,Home::General,,, 9350143682, 9789350143681, English, 1100,₹944, S. K. Kataria & Sons, 2013,,,An Integrated Course In Electrical Engineering,https://www.bookswagon.com/book/integrated-course-in-electrical-engineering/9789350143681,,
Amish Tripathi , Paperback,Home::Fiction::Adventure,, 197 mm, 9356290687, 9789356290686, English, 575,₹324, HarperCollins India, 30 Apr 1998, Y,,Oath of the Vayuputras (Shiva Trilogy Book 3),https://www.bookswagon.com/book/oath-vayuputras-shiva-trilogy-book/9789356290686, 426 gr, 132 mm
"Bansal, Sonali|Tripathi, Snehil", Paperback,Home::General,, 39.99992 mm, 9390185750, 9789390185757, English, 696,₹563,,,,,Modern Indian History - Second Edition | For Civil Services Preliminary and Main Examinations,https://www.bookswagon.com/book/modern-indian-history-second-edition/9789390185757,, 139.99972 mm
RPH Editorial Board, Paperback,Home::Society & social sciences::Education,, 246 mm, 9386845431, 9789386845436, Hindi, 642,₹312, Ramesh Publishing House, 01 Oct 2020, N,,NMMS Exam Guide for (8th) Class VIII,https://www.bookswagon.com/book/nmms-exam-guide-8th-class/9789386845436, 1128 gr, 189 mm
Scholastic, Paperback,Home::General,, 39.99992 mm, 9389297338, 9789389297331, English, 496,₹530, Scholastic India, 30 Oct 2019,,,Pokemon: Super Deluxe Essential Handbook,https://www.bookswagon.com/book/pokemon-scholastic/9789389297331,, 139.99972 mm
Russell Munson,,Home::Fiction::Classic fiction,, 169 mm, 817223578X, 9788172235789,, 96,₹228, HarperCollins India, 17 Oct 2005,,,Jonathan Livingston Seagull: A Story,https://www.bookswagon.com/book/jonathan-livingston-seagull-russell-munson/9788172235789,, 126 mm
Wonder House Books, Wall Chart,Home::General,, 0.1 mm, 9390391776, 9789390391776, English, 1,₹105, Wonder House Books, 12 Oct 2020,,,"Birds - My First Early Learning Wall Posters: For Preschool, Kindergarten, Nursery And Homeschooling (19 Inches X 29 Inches)",https://www.bookswagon.com/book/birds-my-first-early-learning/9789390391776, 90 gr, 48.3 mm
Jeff Kinney , Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Humorous stories (children’s/ya), 19, 197 mm, 0141324929, 9780141324920, English, 224,₹269, Penguin Books Ltd, 06 Aug 2009, N,,Diary of a Wimpy Kid: The Last Straw (Book 3),https://www.bookswagon.com/book/diary-wimpy-kid-jeff-kinney/9780141324920, 174 gr, 130 mm
